HIT rs61735712 (KCNC2): allele_freq=0.07347222952025642, clinvar=Pathogenic
SKIP rs199472754: gnomAD call failed after retries gnomAD query failed for variant 'rs199472754'
RETRY rs1571817966: 429, backing off to 4.5s
RETRY rs1571817966: 429, backing off to 13.5s
RETRY rs1571817966: 429, backing off to 40.5s
RETRY rs121912908: 429, backing off to 4.5s
RETRY rs121912908: 429, backing off to 13.5s
RETRY rs2145135739: 429, backing off to 4.5s
RETRY rs2145135739: 429, backing off to 13.5s
RETRY rs2145135739: 429, backing off to 40.5s
RETRY rs150902800: 429, backing off to 4.5s
RETRY rs150902800: 429, backing off to 13.5s
RETRY rs2525408546: 429, backing off to 4.5s
RETRY rs2525408546: 429, backing off to 13.5s
RETRY rs2525408546: 429, backing off to 40.5s
RETRY rs2467149782: 429, backing off to 4.5s
RETRY rs2467149782: 429, backing off to 13.5s
RETRY rs2467149782: 429, backing off to 40.5s
RETRY rs752278683: 429, backing off to 4.5s
RETRY rs752278683: 429, backing off to 13.5s
RETRY rs1254678434: 429, backing off to 4.5s
RETRY rs1254678434: 429, backing off to 13.5s
RETRY rs1254678434: 429, backing off to 40.5s
RETRY rs749637114: 429, backing off to 4.5s
RETRY rs749637114: 429, backing off to 13.5s
RETRY rs749637114: 429, backing off to 40.5s
RETRY rs779605105: 429, backing off to 4.5s
RETRY rs2545457659: 429, backing off to 4.5s
RETRY rs2545457659: 429, backing off to 13.5s
RETRY rs2545457659: 429, backing off to 40.5s
RETRY rs2539891669: 429, backing off to 4.5s
RETRY rs2539891669: 429, backing off to 13.5s
RETRY rs2539891669: 429, backing off to 40.5s
RETRY rs121913048: 429, backing off to 4.5s
RETRY rs121913048: 429, backing off to 13.5s
RETRY rs767889331: 429, backing off to 4.5s
RETRY rs767889331: 429, backing off to 13.5s
RETRY rs767889331: 429, backing off to 40.5s
RETRY rs2105244912: 429, backing off to 4.5s
RETRY rs2105244912: 429, backing off to 13.5s
RETRY rs772948115: 429, backing off to 4.5s
RETRY rs772948115: 429, backing off to 13.5s
RETRY rs772948115: 429, backing off to 40.5s
RETRY rs587777761: 429, backing off to 4.5s
RETRY rs587777761: 429, backing off to 13.5s
RETRY rs587777761: 429, backing off to 40.5s
RETRY rs33987053: 429, backing off to 4.5s
RETRY rs33987053: 429, backing off to 13.5s
RETRY rs2518059961: 429, backing off to 4.5s
RETRY rs2518059961: 429, backing off to 13.5s
RETRY rs2518059961: 429, backing off to 40.5s
RETRY rs864309527: 429, backing off to 4.5s
RETRY rs864309527: 429, backing off to 13.5s
RETRY rs2146061709: 429, backing off to 4.5s
RETRY rs2146061709: 429, backing off to 13.5s
RETRY rs2146061709: 429, backing off to 40.5s
RETRY rs2143077277: 429, backing off to 4.5s
RETRY rs2143077277: 429, backing off to 13.5s
RETRY rs2143077277: 429, backing off to 40.5s
RETRY rs2530608990: 429, backing off to 4.5s
RETRY rs2530608990: 429, backing off to 13.5s
RETRY rs1564691414: 429, backing off to 4.5s
RETRY rs1564691414: 429, backing off to 13.5s
RETRY rs1564691414: 429, backing off to 40.5s

checked 250 candidates, found 1 hits
